id,name,party,partyLabel,votes,election,electionLabel,ranking
Q4716944,Alex Easton,Q215519,Democratic Unionist Party,8034,Q28231972,2017 Assembly election,1
Q24052783,Alan Chambers,Q841045,Ulster Unionist Party,7151,Q28231972,2017 Assembly election,2
Q7609180,Stephen Farry,Q244927,Alliance Party of Northern Ireland,7014,Q28231972,2017 Assembly election,3
Q5585084,Gordon Dunne,Q215519,Democratic Unionist Party,7678.68,Q28231972,2017 Assembly election,4
Q7614439,Steven Agnew,Q1096979,Green Party in Northern Ireland,6160.50,Q28231972,2017 Assembly election,5
,William Cudworth,Q841045,Ulster Unionist Party,3058.06,Q28231972,2017 Assembly election,6
,Melanie Kennedy,Q327591,Independent (politician),1596.88,Q28231972,2017 Assembly election,7
,Caoímhe McNeill,Q175443,Social Democratic and Labour Party,1202.88,Q28231972,2017 Assembly election,8
,Frank Shivers,Q7058484,Northern Ireland Conservatives,801.88,Q28231972,2017 Assembly election,9
,Kieran Maxwell,Q76382,Sinn Féin,604.50,Q28231972,2017 Assembly election,10
,Chris Carter,Q327591,Independent (politician),126.70,Q28231972,2017 Assembly election,11
,Gavan Reynolds,Q327591,Independent (politician),40.44,Q28231972,2017 Assembly election,12
Q4716944,Alex Easton,Q215519,Democratic Unionist Party,6357,Q16973450,2016 Assembly election,1
Q5585084,Gordon Dunne,Q215519,Democratic Unionist Party,4610.48,Q16973450,2016 Assembly election,2
Q7614439,Steven Agnew,Q1096979,Green Party in Northern Ireland,4607.20,Q16973450,2016 Assembly election,3
Q24052783,Alan Chambers,Q841045,Ulster Unionist Party,5264.92,Q16973450,2016 Assembly election,4
Q7177640,Peter Weir,Q215519,Democratic Unionist Party,4712.76,Q16973450,2016 Assembly election,5
Q7609180,Stephen Farry,Q244927,Alliance Party of Northern Ireland,4049.36,Q16973450,2016 Assembly election,6
,Andrew Muir,Q244927,Alliance Party of Northern Ireland,3076.20,Q16973450,2016 Assembly election,7
,Carl McClean,Q841045,Ulster Unionist Party,2054.40,Q16973450,2016 Assembly election,8
Q264117,Brian Wilson,Q327591,Independent (politician),1678.48,Q16973450,2016 Assembly election,9
,Bill Piper,Q10647,UK Independence Party,955.72,Q16973450,2016 Assembly election,10
,Frank Shivers,Q7058484,Northern Ireland Conservatives,713.04,Q16973450,2016 Assembly election,11
,John Brennan,Q985076,Traditional Unionist Voice,650.76,Q16973450,2016 Assembly election,12
,Conal Browne,Q175443,Social Democratic and Labour Party,589.52,Q16973450,2016 Assembly election,13
,Therese McCartney,Q76382,Sinn Féin,314.84,Q16973450,2016 Assembly election,14
,Chris Eisenstadt,Q841045,Ulster Unionist Party,235.92,Q16973450,2016 Assembly election,15
,Maria Lourenco,Q20642359,Northern Ireland Labour Representation Committee,180.08,Q16973450,2016 Assembly election,16
Q4716944,Alex Easton,Q215519,Democratic Unionist Party,5175,Q7058474,2011 Assembly election,1
Q5585084,Gordon Dunne,Q215519,Democratic Unionist Party,4121,Q7058474,2011 Assembly election,2
Q55424,Peter Weir,Q215519,Democratic Unionist Party,4101,Q7058474,2011 Assembly election,3
Q6530733,Leslie Cree,Q841045,Ulster Unionist Party,4410,Q7058474,2011 Assembly election,4
Q7609180,Stephen Farry,Q244927,Alliance Party of Northern Ireland,4078,Q7058474,2011 Assembly election,5
Q7614439,Steven Agnew,Q1096979,Green Party in Northern Ireland,3229,Q7058474,2011 Assembly election,6
,Anne Wilson,Q244927,Alliance Party of Northern Ireland,3130,Q7058474,2011 Assembly election,7
Q4707281,Alan McFarland,Q327591,Independent (politician),2619,Q7058474,2011 Assembly election,8
Q24052783,Alan Chambers,Q327591,Independent (politician),1989,Q7058474,2011 Assembly election,9
,Colin Breen,Q841045,Ulster Unionist Party,1449,Q7058474,2011 Assembly election,10
Q6539687,Liam Logan,Q175443,Social Democratic and Labour Party,961,Q7058474,2011 Assembly election,11
,Fred McGlade,Q10647,UK Independence Party,624,Q7058474,2011 Assembly election,12
,Conor Kennan,Q76382,Sinn Féin,295,Q7058474,2011 Assembly election,13
Q4716944,Alex Easton,Q215519,Democratic Unionist Party,4946,Q2562399,2007 Assembly election,1
Q7609180,Stephen Farry,Q244927,Alliance Party of Northern Ireland,4466,Q2562399,2007 Assembly election,2
Q6530733,Leslie Cree,Q841045,Ulster Unionist Party,4687,Q2562399,2007 Assembly election,3
Q264117,Brian Wilson,Q1096979,Green Party of Northern Ireland,4572,Q2562399,2007 Assembly election,4
Q7177640,Peter Weir,Q215519,Democratic Unionist Party,4380,Q2562399,2007 Assembly election,5
Q4707281,Alan McFarland,Q841045,Ulster Unionist Party,3986,Q2562399,2007 Assembly election,6
,Alan Graham,Q215519,Democratic Unionist Party,3255,Q2562399,2007 Assembly election,7
,Marion Smith,Q841045,Ulster Unionist Party,2641,Q2562399,2007 Assembly election,8
Q7347473,Robert McCartney,Q985706,UK Unionist Party,2119,Q2562399,2007 Assembly election,9
Q6539687,Liam Logan,Q175443,Social Democratic and Labour Party,1674,Q2562399,2007 Assembly election,10
,Brian Rowan,Q327591,Independent (politician),1376,Q2562399,2007 Assembly election,11
Q24052783,Alan Chambers,Q327591,Independent (politician),1257,Q2562399,2007 Assembly election,12
Q6138001,James Leslie,Q7058484,Northern Ireland Conservatives,888,Q2562399,2007 Assembly election,13
,Deaglan Page,Q76382,Sinn Féin,391,Q2562399,2007 Assembly election,14
,Elaine Martin,Q1817613,Progressive Unionist Party,376,Q2562399,2007 Assembly election,15
,Christopher Carter,Q327591,Independent (politician),124,Q2562399,2007 Assembly election,16
Q6530733,Leslie Cree,Q841045,Ulster Unionist Party,4482,Q2076187,2003 Assembly election,1
Q5349324,Eileen Bell,Q244927,Alliance Party of Northern Ireland,5237,Q2076187,2003 Assembly election,2
Q4707281,Alan McFarland,Q841045,Ulster Unionist Party,4502,Q2076187,2003 Assembly election,3
Q7347473,Robert McCartney,Q985706,UK Unionist Party,4102,Q2076187,2003 Assembly election,4
Q7177640,Peter Weir,Q215519,Democratic Unionist Party,4031,Q2076187,2003 Assembly election,5
Q4716944,Alex Easton,Q215519,Democratic Unionist Party,3839,Q2076187,2003 Assembly election,6
,Diana Peacocke,Q841045,Ulster Unionist Party,3418,Q2076187,2003 Assembly election,7
Q6539687,Liam Logan,Q175443,Social Democratic and Labour Party,2158,Q2076187,2003 Assembly election,8
Q264117,Brian Wilson,Q327591,Independent (politician),1718,Q2076187,2003 Assembly election,9
